id,name,price,category,description,image,inStock,brand,strain,thc,weight
buds_001,Island Pink Kush,34.99,Dried Flower,"A heavy-hitting indica dominant strain with a floral, sweet aroma and potent effects. Perfect for deep relaxation.","https://images.unsplash.com/photo-1596755094514-f87e34085b2c?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,Indica,24%,3.5g
buds_002,Blue Dream,29.99,Dried Flower,"A legendary sativa-dominant hybrid known for its balanced effects and sweet berry aroma. Great for daytime creativity.","https://images.unsplash.com/photo-1603909223429-69bb7101f420?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,Sativa,19%,3.5g
buds_003,Gelato 41,39.99,Dried Flower,"A powerhouse hybrid with a creamy, dessert-like flavor profile. Offers a relaxing yet euphoric high.","https://images.unsplash.com/photo-1594498257602-32638e98529c?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,Hybrid,22%,3.5g
buds_004,Sour Diesel,32.99,Dried Flower,"Famous for its pungent, diesel-like aroma and energizing cerebral effects. A classic choice for focus.","https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,Sativa,20%,3.5g
buds_005,Berry Blast Gummies,15.99,Edible,"Delicious 10mg THC gummies infused with natural berry flavors. Fast-acting and consistent dosing.","https://images.unsplash.com/photo-1582041236130-9426f4f1345d?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,Hybrid,10mg,10pk
buds_006,Honey Infused Tea,12.50,Beverage,"Soothing herbal tea with 5mg THC. Perfect for a cozy evening unwind.","https://images.unsplash.com/photo-1544787210-2827443cb39b?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,Hybrid,5mg,355ml
buds_007,Live Resin Cartridge,45.00,Vape,"Pure live resin extracted from fresh-frozen flower. Rich in terpenes and full-spectrum effects.","https://images.unsplash.com/photo-1563191799-2c7e8c185bb3?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,Hybrid,85%,0.5g
buds_008,Premium Pre-Roll Pack,24.99,Pre-Roll,"Five 0.5g pre-rolls made from whole-flower, never shake. Convenient and high quality.","https://images.unsplash.com/photo-1603909223429-69bb7101f420?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,Indica,21%,2.5g
buds_009,CBG Wellness Tincture,55.00,Accessories,"Full-spectrum CBG tincture designed for focus and physical recovery. Non-psychoactive.","https://images.unsplash.com/photo-1615485290382-441e4d0c9cb5?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,CBD,500mg,30ml
buds_010,Diamond Infused Pre-Roll,18.00,Pre-Roll,"Single 1g pre-roll infused with THCA diamonds for an extra potent experience.","https://images.unsplash.com/photo-1594498257602-32638e98529c?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,Indica,32%,1g
buds_011,Watermelon Seltzer,9.00,Beverage,"Crisp and refreshing seltzer with 10mg THC and natural watermelon extract.","https://images.unsplash.com/photo-1556679343-c7306c1976bc?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,Hybrid,10mg,355ml
buds_012,Dark Chocolate Bar,19.99,Edible,"Premium 70% dark chocolate infused with 100mg THC. Rich and sophisticated.","https://images.unsplash.com/photo-1549007994-cb92caebd54b?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,Hybrid,100mg,50g
buds_013,Purple Punch,36.50,Dried Flower,"A sweet and sedating strain that tastes like grape candy and blueberry muffins.","https://images.unsplash.com/photo-1596755094514-f87e34085b2c?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,Indica,23%,3.5g
buds_014,Durban Poison,33.00,Dried Flower,"A pure sativa known for its oversized resin glands and energetic, uplifting effects.","https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,Sativa,21%,3.5g
buds_015,Ceramic Grinder,25.00,Accessories,"Non-stick ceramic coated grinder for a smooth, consistent grind every time.","https://images.unsplash.com/photo-1582041236130-9426f4f1345d?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,None,None,None
buds_016,Glass Rolling Tray,20.00,Accessories,"Premium tempered glass rolling tray with a non-slip base and high-edge design.","https://images.unsplash.com/photo-1563191799-2c7e8c185bb3?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,None,None,None
buds_017,Strawberry Lemonade Vape,42.00,Vape,"Distillate cartridge with natural botanical terpenes for a sweet, summery flavor.","https://images.unsplash.com/photo-1556679343-c7306c1976bc?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,Sativa,88%,1g
buds_018,CBD Bath Bomb,14.00,Accessories,"Relaxing lavender bath bomb with 50mg CBD for physical tension relief.","https://images.unsplash.com/photo-1615485290382-441e4d0c9cb5?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,CBD,50mg,100g
buds_019,White Widow,31.00,Dried Flower,"A world-famous hybrid with a powerful burst of euphoria and energy that stimulates both conversation and creativity.","https://images.unsplash.com/photo-1594498257602-32638e98529c?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,Hybrid,20%,3.5g
buds_020,Tropical Punch Soft Chews,17.50,Edible,"Sativa-leaning soft chews with tropical fruit flavors. Uplifting and fun.","https://images.unsplash.com/photo-1582041236130-9426f4f1345d?auto=format&fit=crop&q=80&w=800",true,Bud N' Buddies,Sativa,10mg,10pk
